tag,attribute_tag,keyword,text,description
5fu,att_compound,5fu,5-Fluorouracil,"5-FU is a pyrimidine analog that causes DNA and RNA stress by the incorporation of its derived metabo- lites into DNA and RNA and by the inhibition of thymidylate synthase, inducing deoxyribonucleotide pool imbalance."
anisomycin,att_compound,anisomycin,Anisomycin,
antimycin,att_compound,antimycin,Antimycin A,Antimycin A - Cytochrome c reductase (CIII) Inhibitor (QiSite Binding) from Streptomyces bacteria.
atp,att_compound,atp,ATP,Adenosine triphosphate
berzosertib,att_compound,berzosertib,Berzosertib,
bortezomib,att_compound,bortezomib,Bortezomib,
cccp,att_compound,cccp,CCCP,Carbonyl cyanide m-chlorophenyl hydrazone. CCCP causes an uncoupling of the proton gradient that is established during the normal activity of electron carriers in the electron transport chain. CCCP acts essentially as an ionophore and reduces the ability of ATP synthase to function optimally.
cgas,att_compound,cgas,cGAS,
cycloheximide,att_compound,cycloheximide,Cycloheximide,
diabzi,att_compound,diabzi,diABZI,
dmso,att_compound,dmso,DMSO,Dimethyl sulfoxide used as a control in compound treatment.
doxorubicin,att_compound,doxorubicin,Doxorubicin,Doxorubicin is type of chemotherapy drug called an anthracycline. It slows or stops the growth of cancer cells by blocking an enzyme called topo isomerase 2.\
doxycycline,att_compound,doxycycline,Doxycycline,Doxycycline is a broad-spectrum antibiotic of the tetracycline class used in the treatment of infections caused by bacteria and certain parasites.
etoposide,att_compound,etoposide,Etoposide,
lactimidomycin,att_compound,lactimidomycin,Lactimidomycin,
lps,att_compound,lps,Lipopolysaccharide,
niap,att_compound,niap,nIAP,
pam,att_compound,pam,Polyacrylamide,
r837,att_compound,r837,r837,Imiquimod; stimulates the innate immune system by activating toll-like receptor 7 (TLR7)
r848,att_compound,r848,r848,Resiquimod; Imidazoquinolinamine and Toll-like receptor (TLR) agonist
tamoxifen,att_compound,tamoxifen,Tamoxifen,
trametinib,att_compound,trametinib,Trametinib,
unstimulated,att_compound,unstimulated,unstimulated,
control,att_compound,control,Control,
786_0,att_celllines,786_0,786-0,Human NCI-60 cell line; Renal Cancer
a498,att_celllines,a498,A498,Human NCI-60 cell line; Renal Cancer
a549,att_celllines,a549,A549,Human NCI-60 cell line; Non-Small Cell Lung cancer
achn,att_celllines,achn,ACHN,Human NCI-60 cell line; Renal Cancer
bmdc,att_celllines,bmdc,BMDC,Bone-marrow-derived Cells
